ReadingDate,SerialNumber,PhaseA_voltage,PhaseB_voltage,PhaseC_voltage,PhaseA_current,PhaseB_current,PhaseC_current,PhaseA_activePower,PhaseB_activePower,PhaseC_activePower,PhaseABC_activePower,PhaseA_reactivePower,PhaseB_reactivePower,PhaseC_reactivePower,PhaseABC_reactivePower,LineFrequency,MeterTemperature
05/06/24 12:18:56,55000052,128.35501098632812,128.5640106201172,128.281005859375,27.339000701904297,30.16400146484375,24.922000885009766,3203.0,3784.0,3114.0,10101.0,1425.0,823.0,654.0,2902.0,59.98999786376953,25.700000762939453
05/06/24 12:19:03,55000052,128.34500122070312,128.51901245117188,128.27101135253906,27.25400161743164,30.045001983642578,24.84600067138672,3188.0,3770.0,3102.0,10060.0,1433.0,804.0,661.0,2898.0,59.96999740600586,25.700000762939453
05/06/24 12:19:10,55000052,128.77200317382812,129.00100708007812,128.6230010986328,27.285001754760742,30.055002212524414,24.929000854492188,3194.0,3782.0,3120.0,10096.0,1456.0,820.0,666.0,2942.0,59.98999786376953,25.700000762939453
05/06/24 12:19:17,55000052,128.73300170898438,128.906005859375,128.6230010986328,27.51700210571289,30.266000747680664,25.166000366210938,3225.0,3810.0,3151.0,10186.0,1457.0,815.0,665.0,2937.0,60.0099983215332,25.700000762939453
05/06/24 12:19:24,55000052,128.66799926757812,128.91600036621094,128.51901245117188,27.56100082397461,30.400001525878906,25.340002059936523,3230.0,3827.0,3176.0,10233.0,1459.0,822.0,660.0,2941.0,60.0,25.700000762939453
05/06/24 12:19:31,55000052,128.67300415039062,128.8520050048828,128.4250030517578,27.591001510620117,30.50800132751465,25.356000900268555,3230.0,3840.0,3175.0,10245.0,1462.0,813.0,650.0,2925.0,60.0,25.700000762939453
05/06/24 12:19:38,55000052,128.46900939941406,128.67800903320312,128.3300018310547,27.558000564575195,30.415000915527344,25.154001235961914,3226.0,3823.0,3148.0,10197.0,1451.0,812.0,651.0,2914.0,60.0,25.700000762939453
05/06/24 12:19:45,55000052,128.40000915527344,128.60800170898438,128.281005859375,27.50200080871582,30.315000534057617,25.270000457763672,3217.0,3805.0,3161.0,10183.0,1446.0,814.0,647.0,2907.0,60.0,25.700000762939453
05/06/24 12:19:52,55000052,128.385009765625,128.63800048828125,128.3400115966797,27.66200065612793,30.51500129699707,25.44300079345703,3240.0,3834.0,3186.0,10260.0,1449.0,819.0,650.0,2918.0,60.0,25.700000762939453
05/06/24 12:19:59,55000052,128.73300170898438,128.96600341796875,128.6280059814453,14.384000778198242,16.743000030517578,12.113000869750977,1836.0,2073.0,1496.0,5405.0,183.0,-580.0,-351.0,-748.0,60.0,25.700000762939453
05/06/24 12:20:06,55000052,128.78700256347656,129.031005859375,128.69801330566406,14.372000694274902,16.75800132751465,12.0910005569458,1834.0,2075.0,1491.0,5400.0,188.0,-581.0,-351.0,-744.0,60.0099983215332,25.700000762939453
05/06/24 12:20:13,55000052,128.8870086669922,129.0850067138672,128.79701232910156,14.469000816345215,16.86400032043457,12.289000511169434,1850.0,2093.0,1523.0,5466.0,185.0,-581.0,-349.0,-745.0,60.02000045776367,25.700000762939453
05/06/24 12:20:20,55000052,128.77200317382812,129.0500030517578,128.7130126953125,14.394001007080078,16.852001190185547,12.248000144958496,1839.0,2090.0,1517.0,5446.0,182.0,-580.0,-348.0,-746.0,60.0099983215332,25.700000762939453
05/06/24 12:20:27,55000052,128.83700561523438,129.06500244140625,128.77700805664062,14.355000495910645,16.881999969482422,11.953001022338867,1835.0,2095.0,1478.0,5408.0,177.0,-581.0,-344.0,-748.0,60.02000045776367,25.700000762939453
05/06/24 12:20:34,55000052,128.7620086669922,129.0550079345703,128.74700927734375,14.268000602722168,16.790000915527344,11.993000984191895,1822.0,2081.0,1481.0,5384.0,175.0,-579.0,-346.0,-750.0,60.02000045776367,25.700000762939453
05/06/24 12:20:41,55000052,128.67300415039062,128.96600341796875,128.63800048828125,14.26300048828125,16.72800064086914,11.891000747680664,1819.0,2072.0,1465.0,5356.0,173.0,-573.0,-349.0,-749.0,60.0,25.700000762939453
05/06/24 12:20:48,55000052,128.74700927734375,128.97601318359375,128.74200439453125,14.329000473022461,16.782001495361328,12.021000862121582,1830.0,2081.0,1485.0,5396.0,175.0,-575.0,-346.0,-746.0,59.98999786376953,25.700000762939453
05/06/24 12:20:55,55000052,128.77700805664062,129.07501220703125,128.802001953125,14.398000717163086,16.84200096130371,12.191000938415527,1840.0,2090.0,1508.0,5438.0,180.0,-578.0,-344.0,-742.0,60.0,25.700000762939453
05/06/24 12:21:02,55000052,128.78700256347656,129.0500030517578,128.84201049804688,14.380001068115234,16.799001693725586,12.197000503540039,1839.0,2084.0,1511.0,5434.0,176.0,-580.0,-343.0,-747.0,60.0,25.700000762939453
05/06/24 12:21:09,55000052,128.73300170898438,128.9560089111328,128.71800231933594,14.51400089263916,16.845001220703125,12.148000717163086,1853.0,2087.0,1504.0,5444.0,175.0,-577.0,-343.0,-745.0,60.0099983215332,25.700000762939453
05/06/24 12:21:16,55000052,128.77200317382812,129.00601196289062,128.7080078125,14.42500114440918,16.92300033569336,12.1850004196167,1842.0,2097.0,1509.0,5448.0,179.0,-578.0,-343.0,-742.0,60.0099983215332,25.700000762939453
05/06/24 12:21:23,55000052,128.7519989013672,129.07501220703125,128.7519989013672,14.572000503540039,17.00800132751465,12.131000518798828,1862.0,2113.0,1505.0,5480.0,180.0,-576.0,-341.0,-737.0,60.0099983215332,25.700000762939453
05/06/24 12:21:30,55000052,128.74700927734375,129.0800018310547,128.8070068359375,14.35400104522705,16.779001235961914,12.029000282287598,1835.0,2082.0,1488.0,5405.0,172.0,-571.0,-347.0,-746.0,60.0099983215332,25.700000762939453
05/06/24 12:21:38,55000052,128.81700134277344,129.0600128173828,128.81700134277344,14.248001098632812,16.689001083374023,11.922000885009766,1821.0,2070.0,1474.0,5365.0,172.0,-572.0,-344.0,-744.0,60.0,25.700000762939453
05/06/24 12:21:45,55000052,128.78700256347656,129.0550079345703,128.86700439453125,14.204000473022461,16.689001083374023,11.975000381469727,1815.0,2070.0,1481.0,5366.0,174.0,-574.0,-347.0,-747.0,60.0,25.700000762939453
05/06/24 12:21:52,55000052,128.7519989013672,129.031005859375,128.78201293945312,14.330000877380371,16.803001403808594,12.106000900268555,1832.0,2086.0,1500.0,5418.0,174.0,-572.0,-344.0,-742.0,60.0,25.700000762939453
05/06/24 12:21:59,55000052,128.73800659179688,129.031005859375,128.83200073242188,14.410000801086426,16.713001251220703,12.052000999450684,1844.0,2073.0,1494.0,5411.0,168.0,-575.0,-346.0,-753.0,60.0,25.700000762939453
05/06/24 12:22:06,55000052,128.74200439453125,128.9860076904297,128.74700927734375,14.182001113891602,16.700000762939453,11.960000991821289,1813.0,2071.0,1478.0,5362.0,174.0,-576.0,-345.0,-747.0,60.0,25.700000762939453
05/06/24 12:22:13,55000052,128.78201293945312,129.01600646972656,128.83200073242188,14.326000213623047,16.735000610351562,12.092000961303711,1831.0,2075.0,1498.0,5404.0,178.0,-575.0,-346.0,-743.0,59.98999786376953,25.700000762939453
05/06/24 12:22:20,55000052,128.86700439453125,129.07000732421875,128.8820037841797,14.449000358581543,16.75800132751465,12.062000274658203,1848.0,2078.0,1494.0,5420.0,184.0,-579.0,-351.0,-746.0,59.98999786376953,25.700000762939453
